Immobilienart	Region	Zeitabschnitt	Anzahl Mittel aus 10Jahresscheiben	Index final(Basis: 2010_1 = 100)
gebrauchte Eigenheime	4101	2008_3	387,5	96,28
gebrauchte Eigenheime	4101	2008_4	370,5	96,54
gebrauchte Eigenheime	4101	2009_1	344,5	97,72
gebrauchte Eigenheime	4101	2009_2	408,0	97,99
gebrauchte Eigenheime	4101	2009_3	362,0	98,06
gebrauchte Eigenheime	4101	2009_4	407,5	98,66
gebrauchte Eigenheime	4101	2010_1	359,7	100,00
gebrauchte Eigenheime	4101	2010_2	470,0	101,15
gebrauchte Eigenheime	4101	2010_3	473,3	102,11
gebrauchte Eigenheime	4101	2010_4	450,7	104,18
gebrauchte Eigenheime	4101	2011_1	375,5	105,75
gebrauchte Eigenheime	4101	2011_2	466,5	105,49
gebrauchte Eigenheime	4101	2011_3	492,0	105,05
gebrauchte Eigenheime	4101	2011_4	458,5	105,84
gebrauchte Eigenheime	4101	2012_1	527,0	108,16
gebrauchte Eigenheime	4101	2012_2	570,0	110,38
gebrauchte Eigenheime	4101	2012_3	552,0	111,91
gebrauchte Eigenheime	4101	2012_4	557,0	112,83
gebrauchte Eigenheime	4101	2013_1	527,5	113,48
gebrauchte Eigenheime	4101	2013_2	554,0	114,59
gebrauchte Eigenheime	4101	2013_3	559,5	115,48
gebrauchte Eigenheime	4101	2013_4	594,5	116,23
gebrauchte Eigenheime	4101	2014_1	470,5	118,30
gebrauchte Eigenheime	4101	2014_2	475,0	120,51
gebrauchte Eigenheime	4101	2014_3	512,0	121,32
gebrauchte Eigenheime	4101	2014_4	455,5	122,17
gebrauchte Eigenheime	4101	2015_1	454,0	123,50
gebrauchte Eigenheime	4101	2015_2	472,5	125,57
gebrauchte Eigenheime	4101	2015_3	509,0	127,42
gebrauchte Eigenheime	4101	2015_4	523,0	128,18
gebrauchte Eigenheime	4101	2016_1	536,0	130,16
gebrauchte Eigenheime	4101	2016_2	619,0	132,64
gebrauchte Eigenheime	4101	2016_3	598,0	133,75
gebrauchte Eigenheime	4101	2016_4	594,0	134,80
gebrauchte Eigenheime	4101	2017_1	567,0	137,11
gebrauchte Eigenheime	4101	2017_2	633,0	141,35
gebrauchte Eigenheime	4101	2017_3	598,0	144,38
gebrauchte Eigenheime	4101	2017_4	584,0	147,25
gebrauchte Eigenheime	4101	2018_1	557,0	148,80
gebrauchte Eigenheime	4101	2018_2	533,0	151,12
gebrauchte Eigenheime	4101	2018_3	460,0	
gebrauchte Eigenheime	4101	2018_4	#DIV/0!	
gebrauchte Eigenheime	4101	2019_1	#DIV/0!	
gebrauchte Eigenheime	4101	2019_2	#DIV/0!	
gebrauchte Eigenheime	4101	2019_3	#DIV/0!	
gebrauchte Eigenheime	4101	2019_4	#DIV/0!	
gebrauchte Eigenheime	4101	2020_1	#DIV/0!	
gebrauchte Eigenheime	4101	2020_2	#DIV/0!	
gebrauchte Eigenheime	4101	2020_3	#DIV/0!	
gebrauchte Eigenheime	4101	2020_4	#DIV/0!	
gebrauchte Eigenheime	4101	2021_1	#DIV/0!	
gebrauchte Eigenheime	4101	2021_2	#DIV/0!	
gebrauchte Eigenheime	4101	2021_3	#DIV/0!	
gebrauchte Eigenheime	4101	2021_4	#DIV/0!	
gebrauchte Eigenheime	4102	2000_1	57,0	
gebrauchte Eigenheime	4102	2000_2	65,0	106,76
gebrauchte Eigenheime	4102	2000_3	74,0	106,83
gebrauchte Eigenheime	4102	2000_4	71,0	106,46
gebrauchte Eigenheime	4102	2001_1	126,0	106,93
gebrauchte Eigenheime	4102	2001_2	90,0	105,41
gebrauchte Eigenheime	4102	2001_3	97,0	102,76
gebrauchte Eigenheime	4102	2001_4	63,0	103,70
gebrauchte Eigenheime	4102	2002_1	94,0	105,06
gebrauchte Eigenheime	4102	2002_2	96,0	102,34
gebrauchte Eigenheime	4102	2002_3	70,0	99,96
gebrauchte Eigenheime	4102	2002_4	89,0	100,92
gebrauchte Eigenheime	4102	2003_1	73,0	101,56
gebrauchte Eigenheime	4102	2003_2	91,0	101,86
gebrauchte Eigenheime	4102	2003_3	82,0	100,96
gebrauchte Eigenheime	4102	2003_4	69,0	100,14
gebrauchte Eigenheime	4102	2004_1	102,0	100,69
gebrauchte Eigenheime	4102	2004_2	93,0	99,29
gebrauchte Eigenheime	4102	2004_3	100,0	98,23
gebrauchte Eigenheime	4102	2004_4	65,0	98,28
gebrauchte Eigenheime	4102	2005_1	124,0	98,81
gebrauchte Eigenheime	4102	2005_2	98,5	99,76
gebrauchte Eigenheime	4102	2005_3	73,0	98,79
gebrauchte Eigenheime	4102	2005_4	125,0	98,52
gebrauchte Eigenheime	4102	2006_1	74,5	100,79
gebrauchte Eigenheime	4102	2006_2	88,5	102,36
gebrauchte Eigenheime	4102	2006_3	119,5	101,38
gebrauchte Eigenheime	4102	2006_4	88,0	100,54
gebrauchte Eigenheime	4102	2007_1	142,0	100,13
gebrauchte Eigenheime	4102	2007_2	146,0	99,88
gebrauchte Eigenheime	4102	2007_3	110,0	100,54
gebrauchte Eigenheime	4102	2007_4	95,5	100,41
gebrauchte Eigenheime	4102	2008_1	156,5	98,87
gebrauchte Eigenheime	4102	2008_2	195,5	98,46
gebrauchte Eigenheime	4102	2008_3	128,5	99,20
gebrauchte Eigenheime	4102	2008_4	125,5	99,56
gebrauchte Eigenheime	4102	2009_1	163,0	99,85
gebrauchte Eigenheime	4102	2009_2	169,0	100,38
gebrauchte Eigenheime	4102	2009_3	132,0	99,84
gebrauchte Eigenheime	4102	2009_4	114,0	98,67
gebrauchte Eigenheime	4102	2010_1	215,7	100,00
gebrauchte Eigenheime	4102	2010_2	173,3	102,41
gebrauchte Eigenheime	4102	2010_3	126,0	103,36
gebrauchte Eigenheime	4102	2010_4	137,0	102,92
gebrauchte Eigenheime	4102	2011_1	135,0	102,86
gebrauchte Eigenheime	4102	2011_2	159,5	102,74
gebrauchte Eigenheime	4102	2011_3	152,0	102,30
gebrauchte Eigenheime	4102	2011_4	162,0	102,91
gebrauchte Eigenheime	4102	2012_1	186,0	103,78
gebrauchte Eigenheime	4102	2012_2	194,0	104,32
gebrauchte Eigenheime	4102	2012_3	223,5	105,72
gebrauchte Eigenheime	4102	2012_4	186,5	106,86
gebrauchte Eigenheime	4102	2013_1	225,0	107,54
gebrauchte Eigenheime	4102	2013_2	281,0	108,35
gebrauchte Eigenheime	4102	2013_3	266,5	109,30
gebrauchte Eigenheime	4102	2013_4	268,0	110,36
gebrauchte Eigenheime	4102	2014_1	239,0	110,88
gebrauchte Eigenheime	4102	2014_2	217,0	111,82
gebrauchte Eigenheime	4102	2014_3	202,5	112,86
gebrauchte Eigenheime	4102	2014_4	187,5	112,36
gebrauchte Eigenheime	4102	2015_1	200,5	113,29
gebrauchte Eigenheime	4102	2015_2	255,5	115,53
gebrauchte Eigenheime	4102	2015_3	224,0	116,77
gebrauchte Eigenheime	4102	2015_4	230,0	117,40
gebrauchte Eigenheime	4102	2016_1	229,0	118,98
gebrauchte Eigenheime	4102	2016_2	222,0	121,00
gebrauchte Eigenheime	4102	2016_3	214,0	121,71
gebrauchte Eigenheime	4102	2016_4	219,0	122,08
gebrauchte Eigenheime	4102	2017_1	251,0	123,34
gebrauchte Eigenheime	4102	2017_2	249,0	126,76
gebrauchte Eigenheime	4102	2017_3	301,0	129,03
gebrauchte Eigenheime	4102	2017_4	270,0	131,09
gebrauchte Eigenheime	4102	2018_1	252,0	132,92
gebrauchte Eigenheime	4102	2018_2	260,0	135,79
gebrauchte Eigenheime	4102	2018_3	267,0	
gebrauchte Eigenheime	4102	2018_4	#DIV/0!	
gebrauchte Eigenheime	4102	2019_1	#DIV/0!	
gebrauchte Eigenheime	4102	2019_2	#DIV/0!	
gebrauchte Eigenheime	4102	2019_3	#DIV/0!	
gebrauchte Eigenheime	4102	2019_4	#DIV/0!	
gebrauchte Eigenheime	4102	2020_1	#DIV/0!	
gebrauchte Eigenheime	4102	2020_2	#DIV/0!	
gebrauchte Eigenheime	4102	2020_3	#DIV/0!	
gebrauchte Eigenheime	4102	2020_4	#DIV/0!	
gebrauchte Eigenheime	4102	2021_1	#DIV/0!	
gebrauchte Eigenheime	4102	2021_2	#DIV/0!	
gebrauchte Eigenheime	4102	2021_3	#DIV/0!	
gebrauchte Eigenheime	4102	2021_4	#DIV/0!	
gebrauchte Eigenheime	4103	2000_1	161,0	
gebrauchte Eigenheime	4103	2000_2	157,0	106,08
gebrauchte Eigenheime	4103	2000_3	161,0	104,01
gebrauchte Eigenheime	4103	2000_4	176,0	102,40
gebrauchte Eigenheime	4103	2001_1	159,0	102,96
gebrauchte Eigenheime	4103	2001_2	201,0	103,14
gebrauchte Eigenheime	4103	2001_3	207,0	103,32
gebrauchte Eigenheime	4103	2001_4	190,0	103,59
gebrauchte Eigenheime	4103	2002_1	181,0	103,36
gebrauchte Eigenheime	4103	2002_2	221,0	103,00
gebrauchte Eigenheime	4103	2002_3	215,0	102,56
gebrauchte Eigenheime	4103	2002_4	295,0	103,11
gebrauchte Eigenheime	4103	2003_1	155,0	103,55
gebrauchte Eigenheime	4103	2003_2	179,0	102,63
gebrauchte Eigenheime	4103	2003_3	209,0	102,34
gebrauchte Eigenheime	4103	2003_4	292,0	102,86
gebrauchte Eigenheime	4103	2004_1	133,0	102,73
gebrauchte Eigenheime	4103	2004_2	173,0	100,70
gebrauchte Eigenheime	4103	2004_3	165,0	99,55
gebrauchte Eigenheime	4103	2004_4	231,0	100,27
gebrauchte Eigenheime	4103	2005_1	149,5	102,40
gebrauchte Eigenheime	4103	2005_2	205,0	104,08
gebrauchte Eigenheime	4103	2005_3	182,0	102,49
gebrauchte Eigenheime	4103	2005_4	403,5	100,60
gebrauchte Eigenheime	4103	2006_1	112,5	100,19
gebrauchte Eigenheime	4103	2006_2	172,5	100,59
gebrauchte Eigenheime	4103	2006_3	189,0	99,43
gebrauchte Eigenheime	4103	2006_4	204,5	98,94
gebrauchte Eigenheime	4103	2007_1	209,5	99,22
gebrauchte Eigenheime	4103	2007_2	229,5	98,63
gebrauchte Eigenheime	4103	2007_3	235,5	97,86
gebrauchte Eigenheime	4103	2007_4	199,5	97,58
gebrauchte Eigenheime	4103	2008_1	242,0	98,28
gebrauchte Eigenheime	4103	2008_2	254,0	98,63
gebrauchte Eigenheime	4103	2008_3	281,0	97,55
gebrauchte Eigenheime	4103	2008_4	230,0	96,68
gebrauchte Eigenheime	4103	2009_1	217,0	97,61
gebrauchte Eigenheime	4103	2009_2	232,0	98,38
gebrauchte Eigenheime	4103	2009_3	228,0	98,74
gebrauchte Eigenheime	4103	2009_4	216,0	99,51
gebrauchte Eigenheime	4103	2010_1	240,0	100,00
gebrauchte Eigenheime	4103	2010_2	257,3	101,41
gebrauchte Eigenheime	4103	2010_3	252,0	103,53
gebrauchte Eigenheime	4103	2010_4	288,0	104,90
gebrauchte Eigenheime	4103	2011_1	202,5	105,83
gebrauchte Eigenheime	4103	2011_2	255,5	106,54
gebrauchte Eigenheime	4103	2011_3	282,0	106,51
gebrauchte Eigenheime	4103	2011_4	279,5	107,17
gebrauchte Eigenheime	4103	2012_1	293,0	109,47
gebrauchte Eigenheime	4103	2012_2	355,5	110,78
gebrauchte Eigenheime	4103	2012_3	324,5	111,82
gebrauchte Eigenheime	4103	2012_4	301,5	114,43
gebrauchte Eigenheime	4103	2013_1	269,0	116,65
gebrauchte Eigenheime	4103	2013_2	355,0	117,49
gebrauchte Eigenheime	4103	2013_3	339,0	118,05
gebrauchte Eigenheime	4103	2013_4	336,0	118,00
gebrauchte Eigenheime	4103	2014_1	261,0	118,31
gebrauchte Eigenheime	4103	2014_2	279,0	121,22
gebrauchte Eigenheime	4103	2014_3	283,5	123,37
gebrauchte Eigenheime	4103	2014_4	298,5	121,98
gebrauchte Eigenheime	4103	2015_1	261,5	122,34
gebrauchte Eigenheime	4103	2015_2	304,5	126,80
gebrauchte Eigenheime	4103	2015_3	285,5	129,54
gebrauchte Eigenheime	4103	2015_4	285,0	130,51
gebrauchte Eigenheime	4103	2016_1	259,0	132,29
gebrauchte Eigenheime	4103	2016_2	259,0	135,67
gebrauchte Eigenheime	4103	2016_3	241,0	139,59
gebrauchte Eigenheime	4103	2016_4	279,0	141,24
gebrauchte Eigenheime	4103	2017_1	249,0	141,04
gebrauchte Eigenheime	4103	2017_2	253,0	144,68
gebrauchte Eigenheime	4103	2017_3	295,0	148,53
gebrauchte Eigenheime	4103	2017_4	281,0	149,68
gebrauchte Eigenheime	4103	2018_1	236,0	150,33
gebrauchte Eigenheime	4103	2018_2	329,0	152,53
gebrauchte Eigenheime	4103	2018_3	220,0	
gebrauchte Eigenheime	4103	2018_4	#DIV/0!	
gebrauchte Eigenheime	4103	2019_1	#DIV/0!	
gebrauchte Eigenheime	4103	2019_2	#DIV/0!	
gebrauchte Eigenheime	4103	2019_3	#DIV/0!	
gebrauchte Eigenheime	4103	2019_4	#DIV/0!	
gebrauchte Eigenheime	4103	2020_1	#DIV/0!	
gebrauchte Eigenheime	4103	2020_2	#DIV/0!	
gebrauchte Eigenheime	4103	2020_3	#DIV/0!	
gebrauchte Eigenheime	4103	2020_4	#DIV/0!	
gebrauchte Eigenheime	4103	2021_1	#DIV/0!	
gebrauchte Eigenheime	4103	2021_2	#DIV/0!	
gebrauchte Eigenheime	4103	2021_3	#DIV/0!	
gebrauchte Eigenheime	4103	2021_4	#DIV/0!	
gebrauchte Eigenheime	4104	2000_1	116,0	
gebrauchte Eigenheime	4104	2000_2	140,0	110,56
gebrauchte Eigenheime	4104	2000_3	140,0	109,50
gebrauchte Eigenheime	4104	2000_4	128,0	108,17
gebrauchte Eigenheime	4104	2001_1	138,0	107,03
gebrauchte Eigenheime	4104	2001_2	178,0	106,99
gebrauchte Eigenheime	4104	2001_3	164,0	106,73
gebrauchte Eigenheime	4104	2001_4	146,0	106,36
gebrauchte Eigenheime	4104	2002_1	110,0	106,63
gebrauchte Eigenheime	4104	2002_2	143,0	106,00
gebrauchte Eigenheime	4104	2002_3	160,0	105,32
gebrauchte Eigenheime	4104	2002_4	220,0	105,05
gebrauchte Eigenheime	4104	2003_1	115,0	104,83
gebrauchte Eigenheime	4104	2003_2	143,0	104,49
gebrauchte Eigenheime	4104	2003_3	172,0	103,57
gebrauchte Eigenheime	4104	2003_4	203,0	103,48
gebrauchte Eigenheime	4104	2004_1	85,0	104,03
gebrauchte Eigenheime	4104	2004_2	115,0	103,49
gebrauchte Eigenheime	4104	2004_3	174,0	101,51
gebrauchte Eigenheime	4104	2004_4	156,0	100,20
gebrauchte Eigenheime	4104	2005_1	89,0	101,66
gebrauchte Eigenheime	4104	2005_2	136,0	103,05
gebrauchte Eigenheime	4104	2005_3	136,5	101,87
gebrauchte Eigenheime	4104	2005_4	220,0	101,49
gebrauchte Eigenheime	4104	2006_1	69,5	103,13
gebrauchte Eigenheime	4104	2006_2	102,5	102,69
gebrauchte Eigenheime	4104	2006_3	112,0	98,38
gebrauchte Eigenheime	4104	2006_4	127,5	96,00
gebrauchte Eigenheime	4104	2007_1	102,0	96,86
gebrauchte Eigenheime	4104	2007_2	154,5	97,70
gebrauchte Eigenheime	4104	2007_3	158,0	96,87
gebrauchte Eigenheime	4104	2007_4	118,5	96,70
gebrauchte Eigenheime	4104	2008_1	105,5	98,10
gebrauchte Eigenheime	4104	2008_2	137,5	97,85
gebrauchte Eigenheime	4104	2008_3	144,5	96,81
gebrauchte Eigenheime	4104	2008_4	122,0	96,65
gebrauchte Eigenheime	4104	2009_1	110,0	97,68
gebrauchte Eigenheime	4104	2009_2	125,0	98,64
gebrauchte Eigenheime	4104	2009_3	126,0	98,60
gebrauchte Eigenheime	4104	2009_4	126,0	99,31
gebrauchte Eigenheime	4104	2010_1	126,7	100,00
gebrauchte Eigenheime	4104	2010_2	149,7	99,52
gebrauchte Eigenheime	4104	2010_3	147,0	99,51
gebrauchte Eigenheime	4104	2010_4	164,0	100,94
gebrauchte Eigenheime	4104	2011_1	141,0	103,75
gebrauchte Eigenheime	4104	2011_2	161,5	105,96
gebrauchte Eigenheime	4104	2011_3	174,5	107,29
gebrauchte Eigenheime	4104	2011_4	163,0	108,74
gebrauchte Eigenheime	4104	2012_1	156,0	109,54
gebrauchte Eigenheime	4104	2012_2	149,0	110,62
gebrauchte Eigenheime	4104	2012_3	184,5	113,18
gebrauchte Eigenheime	4104	2012_4	161,5	115,10
gebrauchte Eigenheime	4104	2013_1	146,5	115,83
gebrauchte Eigenheime	4104	2013_2	175,5	117,51
gebrauchte Eigenheime	4104	2013_3	182,0	119,65
gebrauchte Eigenheime	4104	2013_4	156,0	120,85
gebrauchte Eigenheime	4104	2014_1	114,0	121,29
gebrauchte Eigenheime	4104	2014_2	132,0	123,05
gebrauchte Eigenheime	4104	2014_3	142,5	125,25
gebrauchte Eigenheime	4104	2014_4	154,0	126,25
gebrauchte Eigenheime	4104	2015_1	160,0	126,96
gebrauchte Eigenheime	4104	2015_2	154,5	127,96
gebrauchte Eigenheime	4104	2015_3	129,0	130,42
gebrauchte Eigenheime	4104	2015_4	132,0	135,61
gebrauchte Eigenheime	4104	2016_1	110,0	141,61
gebrauchte Eigenheime	4104	2016_2	125,0	145,79
gebrauchte Eigenheime	4104	2016_3	128,0	148,77
gebrauchte Eigenheime	4104	2016_4	142,0	152,23
gebrauchte Eigenheime	4104	2017_1	127,0	153,48
gebrauchte Eigenheime	4104	2017_2	136,0	155,70
gebrauchte Eigenheime	4104	2017_3	149,0	158,28
gebrauchte Eigenheime	4104	2017_4	166,0	162,26
gebrauchte Eigenheime	4104	2018_1	146,0	163,92
gebrauchte Eigenheime	4104	2018_2	182,0	165,02
gebrauchte Eigenheime	4104	2018_3	137,0	
gebrauchte Eigenheime	4104	2018_4	#DIV/0!	
gebrauchte Eigenheime	4104	2019_1	#DIV/0!	
gebrauchte Eigenheime	4104	2019_2	#DIV/0!	
gebrauchte Eigenheime	4104	2019_3	#DIV/0!	
gebrauchte Eigenheime	4104	2019_4	#DIV/0!	
gebrauchte Eigenheime	4104	2020_1	#DIV/0!	
gebrauchte Eigenheime	4104	2020_2	#DIV/0!	
gebrauchte Eigenheime	4104	2020_3	#DIV/0!	
gebrauchte Eigenheime	4104	2020_4	#DIV/0!	
gebrauchte Eigenheime	4104	2021_1	#DIV/0!	
gebrauchte Eigenheime	4104	2021_2	#DIV/0!	
gebrauchte Eigenheime	4104	2021_3	#DIV/0!	
gebrauchte Eigenheime	4104	2021_4	#DIV/0!	
gebrauchte Eigenheime	4105	2000_1	305,0	
gebrauchte Eigenheime	4105	2000_2	310,0	115,26
gebrauchte Eigenheime	4105	2000_3	315,0	112,87
gebrauchte Eigenheime	4105	2000_4	312,0	112,60
gebrauchte Eigenheime	4105	2001_1	310,0	113,39
gebrauchte Eigenheime	4105	2001_2	373,0	114,05
gebrauchte Eigenheime	4105	2001_3	354,0	113,73
gebrauchte Eigenheime	4105	2001_4	318,0	112,84
gebrauchte Eigenheime	4105	2002_1	310,0	111,94
gebrauchte Eigenheime	4105	2002_2	349,0	110,63
gebrauchte Eigenheime	4105	2002_3	349,0	109,41
gebrauchte Eigenheime	4105	2002_4	519,0	108,64
gebrauchte Eigenheime	4105	2003_1	239,0	107,81
gebrauchte Eigenheime	4105	2003_2	324,0	107,59
gebrauchte Eigenheime	4105	2003_3	418,0	107,35
gebrauchte Eigenheime	4105	2003_4	444,0	106,54
gebrauchte Eigenheime	4105	2004_1	241,0	106,06
gebrauchte Eigenheime	4105	2004_2	344,0	105,76
gebrauchte Eigenheime	4105	2004_3	365,0	104,01
gebrauchte Eigenheime	4105	2004_4	454,0	102,36
gebrauchte Eigenheime	4105	2005_1	271,5	102,77
gebrauchte Eigenheime	4105	2005_2	351,5	103,93
gebrauchte Eigenheime	4105	2005_3	413,0	103,34
gebrauchte Eigenheime	4105	2005_4	722,0	102,90
gebrauchte Eigenheime	4105	2006_1	163,0	102,65
gebrauchte Eigenheime	4105	2006_2	293,0	101,38
gebrauchte Eigenheime	4105	2006_3	309,0	100,46
gebrauchte Eigenheime	4105	2006_4	387,5	100,25
gebrauchte Eigenheime	4105	2007_1	280,0	100,09
gebrauchte Eigenheime	4105	2007_2	348,5	99,75
gebrauchte Eigenheime	4105	2007_3	378,5	99,55
gebrauchte Eigenheime	4105	2007_4	352,5	98,78
gebrauchte Eigenheime	4105	2008_1	323,5	97,65
gebrauchte Eigenheime	4105	2008_2	408,0	96,95
gebrauchte Eigenheime	4105	2008_3	371,5	96,48
gebrauchte Eigenheime	4105	2008_4	337,5	97,48
gebrauchte Eigenheime	4105	2009_1	319,5	99,05
gebrauchte Eigenheime	4105	2009_2	376,0	98,20
gebrauchte Eigenheime	4105	2009_3	354,5	97,28
gebrauchte Eigenheime	4105	2009_4	292,0	98,26
gebrauchte Eigenheime	4105	2010_1	312,7	100,00
gebrauchte Eigenheime	4105	2010_2	356,7	100,47
gebrauchte Eigenheime	4105	2010_3	444,3	100,26
gebrauchte Eigenheime	4105	2010_4	399,0	100,78
gebrauchte Eigenheime	4105	2011_1	245,5	102,13
gebrauchte Eigenheime	4105	2011_2	320,5	102,65
gebrauchte Eigenheime	4105	2011_3	431,0	102,46
gebrauchte Eigenheime	4105	2011_4	418,5	103,23
gebrauchte Eigenheime	4105	2012_1	388,5	104,87
gebrauchte Eigenheime	4105	2012_2	426,5	107,02
gebrauchte Eigenheime	4105	2012_3	477,0	108,91
gebrauchte Eigenheime	4105	2012_4	439,5	109,98
gebrauchte Eigenheime	4105	2013_1	371,0	110,95
gebrauchte Eigenheime	4105	2013_2	480,5	112,13
gebrauchte Eigenheime	4105	2013_3	470,5	113,42
gebrauchte Eigenheime	4105	2013_4	498,0	114,19
gebrauchte Eigenheime	4105	2014_1	324,5	115,40
gebrauchte Eigenheime	4105	2014_2	410,5	118,32
gebrauchte Eigenheime	4105	2014_3	461,5	119,17
gebrauchte Eigenheime	4105	2014_4	450,5	118,42
gebrauchte Eigenheime	4105	2015_1	432,0	119,00
gebrauchte Eigenheime	4105	2015_2	465,0	121,45
gebrauchte Eigenheime	4105	2015_3	440,0	125,24
gebrauchte Eigenheime	4105	2015_4	456,0	129,05
gebrauchte Eigenheime	4105	2016_1	427,0	132,76
gebrauchte Eigenheime	4105	2016_2	418,0	136,79
gebrauchte Eigenheime	4105	2016_3	400,0	139,94
gebrauchte Eigenheime	4105	2016_4	417,0	141,23
gebrauchte Eigenheime	4105	2017_1	430,0	140,87
gebrauchte Eigenheime	4105	2017_2	407,0	141,83
gebrauchte Eigenheime	4105	2017_3	459,0	146,52
gebrauchte Eigenheime	4105	2017_4	413,0	149,39
gebrauchte Eigenheime	4105	2018_1	441,0	150,29
gebrauchte Eigenheime	4105	2018_2	475,0	152,64
gebrauchte Eigenheime	4105	2018_3	419,0	
gebrauchte Eigenheime	4105	2018_4	#DIV/0!	
gebrauchte Eigenheime	4105	2019_1	#DIV/0!	
gebrauchte Eigenheime	4105	2019_2	#DIV/0!	
gebrauchte Eigenheime	4105	2019_3	#DIV/0!	
gebrauchte Eigenheime	4105	2019_4	#DIV/0!	
gebrauchte Eigenheime	4105	2020_1	#DIV/0!	
gebrauchte Eigenheime	4105	2020_2	#DIV/0!	
gebrauchte Eigenheime	4105	2020_3	#DIV/0!	
gebrauchte Eigenheime	4105	2020_4	#DIV/0!	
gebrauchte Eigenheime	4105	2021_1	#DIV/0!	
gebrauchte Eigenheime	4105	2021_2	#DIV/0!	
gebrauchte Eigenheime	4105	2021_3	#DIV/0!	
gebrauchte Eigenheime	4105	2021_4	#DIV/0!	
gebrauchte Eigenheime	4106	2000_1	196,0	
gebrauchte Eigenheime	4106	2000_2	206,0	104,10
gebrauchte Eigenheime	4106	2000_3	221,0	101,89
gebrauchte Eigenheime	4106	2000_4	194,0	101,02
gebrauchte Eigenheime	4106	2001_1	219,0	101,47
gebrauchte Eigenheime	4106	2001_2	222,0	101,60
gebrauchte Eigenheime	4106	2001_3	242,0	101,13
gebrauchte Eigenheime	4106	2001_4	176,0	99,78
gebrauchte Eigenheime	4106	2002_1	129,0	99,07
gebrauchte Eigenheime	4106	2002_2	123,0	100,03
gebrauchte Eigenheime	4106	2002_3	135,0	98,43
gebrauchte Eigenheime	4106	2002_4	247,0	96,86
gebrauchte Eigenheime	4106	2003_1	144,0	96,95
gebrauchte Eigenheime	4106	2003_2	212,0	97,42
gebrauchte Eigenheime	4106	2003_3	223,0	97,67
gebrauchte Eigenheime	4106	2003_4	250,0	97,68
gebrauchte Eigenheime	4106	2004_1	138,0	97,76
gebrauchte Eigenheime	4106	2004_2	211,0	98,04
gebrauchte Eigenheime	4106	2004_3	237,0	96,91
gebrauchte Eigenheime	4106	2004_4	275,0	95,70
gebrauchte Eigenheime	4106	2005_1	164,5	95,96
gebrauchte Eigenheime	4106	2005_2	216,5	96,20
gebrauchte Eigenheime	4106	2005_3	293,0	96,15
gebrauchte Eigenheime	4106	2005_4	341,5	96,03
gebrauchte Eigenheime	4106	2006_1	124,5	95,52
gebrauchte Eigenheime	4106	2006_2	171,5	95,64
gebrauchte Eigenheime	4106	2006_3	200,0	96,03
gebrauchte Eigenheime	4106	2006_4	212,0	95,85
gebrauchte Eigenheime	4106	2007_1	213,0	95,32
gebrauchte Eigenheime	4106	2007_2	222,0	94,79
gebrauchte Eigenheime	4106	2007_3	184,0	94,49
gebrauchte Eigenheime	4106	2007_4	219,5	94,76
gebrauchte Eigenheime	4106	2008_1	198,0	94,99
gebrauchte Eigenheime	4106	2008_2	252,0	95,40
gebrauchte Eigenheime	4106	2008_3	212,5	95,19
gebrauchte Eigenheime	4106	2008_4	202,0	93,84
gebrauchte Eigenheime	4106	2009_1	132,0	94,19
