Immobilienart;Region;Zeitabschnitt;Anzahl_Gewichtung;Index_final
gebrauchte Eigenheime;4101;2009_4;1092;98,660
gebrauchte Eigenheime;4101;2010_1;998;100,000
gebrauchte Eigenheime;4101;2010_2;1231;101,154
gebrauchte Eigenheime;4101;2010_3;1298;102,110
gebrauchte Eigenheime;4101;2010_4;1315;104,181
gebrauchte Eigenheime;4101;2011_1;1017;105,753
gebrauchte Eigenheime;4101;2011_2;1237;105,492
gebrauchte Eigenheime;4101;2011_3;1350;105,053
gebrauchte Eigenheime;4101;2011_4;1213;105,842
gebrauchte Eigenheime;4101;2012_1;1191;108,161
gebrauchte Eigenheime;4101;2012_2;1255;110,376
gebrauchte Eigenheime;4101;2012_3;1507;111,907
gebrauchte Eigenheime;4101;2012_4;1337;112,830
gebrauchte Eigenheime;4101;2013_1;1251;113,477
gebrauchte Eigenheime;4101;2013_2;1377;114,587
gebrauchte Eigenheime;4101;2013_3;1439;115,478
gebrauchte Eigenheime;4101;2013_4;1329;116,230
gebrauchte Eigenheime;4101;2014_1;1174;118,303
gebrauchte Eigenheime;4101;2014_2;1314;120,510
gebrauchte Eigenheime;4101;2014_3;1402;121,320
gebrauchte Eigenheime;4101;2014_4;1337;122,170
gebrauchte Eigenheime;4101;2015_1;1252;123,502
gebrauchte Eigenheime;4101;2015_2;1416;125,573
gebrauchte Eigenheime;4101;2015_3;1514;127,416
gebrauchte Eigenheime;4101;2015_4;1377;128,176
gebrauchte Eigenheime;4101;2016_1;1304;130,158
gebrauchte Eigenheime;4101;2016_2;1479;132,641
gebrauchte Eigenheime;4101;2016_3;1490;133,748
gebrauchte Eigenheime;4101;2016_4;1431;134,800
gebrauchte Eigenheime;4101;2017_1;1231;137,110
gebrauchte Eigenheime;4101;2017_2;1404;141,349
gebrauchte Eigenheime;4101;2017_3;1475;144,378
gebrauchte Eigenheime;4101;2017_4;1344;147,255
gebrauchte Eigenheime;4101;2018_1;1251;148,798
gebrauchte Eigenheime;4101;2018_2;1397;151,123
gebrauchte Eigenheime;4101;2018_3;1474;152,735
gebrauchte Eigenheime;4101;2018_4;1421;153,810
gebrauchte Eigenheime;4101;2019_1;1023;
gebrauchte Eigenheime;4101;2019_2;;
gebrauchte Eigenheime;4101;2019_3;;
gebrauchte Eigenheime;4101;2019_4;;
gebrauchte Eigenheime;4101;2020_1;;
gebrauchte Eigenheime;4101;2020_2;;
gebrauchte Eigenheime;4101;2020_3;;
gebrauchte Eigenheime;4101;2020_4;;
gebrauchte Eigenheime;4101;2021_1;;
gebrauchte Eigenheime;4101;2021_2;;
gebrauchte Eigenheime;4101;2021_3;;
gebrauchte Eigenheime;4101;2021_4;;
gebrauchte Eigenheime;4102;2000_1;727;
gebrauchte Eigenheime;4102;2000_2;745;106,760
gebrauchte Eigenheime;4102;2000_3;771;106,833
gebrauchte Eigenheime;4102;2000_4;722;106,462
gebrauchte Eigenheime;4102;2001_1;843;106,935
gebrauchte Eigenheime;4102;2001_2;805;105,405
gebrauchte Eigenheime;4102;2001_3;804;102,759
gebrauchte Eigenheime;4102;2001_4;743;103,701
gebrauchte Eigenheime;4102;2002_1;807;105,063
gebrauchte Eigenheime;4102;2002_2;782;102,344
gebrauchte Eigenheime;4102;2002_3;761;99,961
gebrauchte Eigenheime;4102;2002_4;1138;100,924
gebrauchte Eigenheime;4102;2003_1;833;101,561
gebrauchte Eigenheime;4102;2003_2;730;101,862
gebrauchte Eigenheime;4102;2003_3;848;100,959
gebrauchte Eigenheime;4102;2003_4;946;100,140
gebrauchte Eigenheime;4102;2004_1;678;100,688
gebrauchte Eigenheime;4102;2004_2;650;99,285
gebrauchte Eigenheime;4102;2004_3;804;98,232
gebrauchte Eigenheime;4102;2004_4;820;98,277
gebrauchte Eigenheime;4102;2005_1;744;98,806
gebrauchte Eigenheime;4102;2005_2;789;99,758
gebrauchte Eigenheime;4102;2005_3;903;98,786
gebrauchte Eigenheime;4102;2005_4;1346;98,522
gebrauchte Eigenheime;4102;2006_1;506;100,793
gebrauchte Eigenheime;4102;2006_2;711;102,365
gebrauchte Eigenheime;4102;2006_3;734;101,379
gebrauchte Eigenheime;4102;2006_4;807;100,543
gebrauchte Eigenheime;4102;2007_1;748;100,128
gebrauchte Eigenheime;4102;2007_2;803;99,877
gebrauchte Eigenheime;4102;2007_3;892;100,545
gebrauchte Eigenheime;4102;2007_4;810;100,410
gebrauchte Eigenheime;4102;2008_1;777;98,870
gebrauchte Eigenheime;4102;2008_2;960;98,457
gebrauchte Eigenheime;4102;2008_3;877;99,203
gebrauchte Eigenheime;4102;2008_4;789;99,563
gebrauchte Eigenheime;4102;2009_1;808;99,850
gebrauchte Eigenheime;4102;2009_2;854;100,382
gebrauchte Eigenheime;4102;2009_3;903;99,842
gebrauchte Eigenheime;4102;2009_4;847;98,671
gebrauchte Eigenheime;4102;2010_1;807;100,000
gebrauchte Eigenheime;4102;2010_2;912;102,412
gebrauchte Eigenheime;4102;2010_3;1051;103,359
gebrauchte Eigenheime;4102;2010_4;1058;102,922
gebrauchte Eigenheime;4102;2011_1;709;102,862
gebrauchte Eigenheime;4102;2011_2;913;102,736
gebrauchte Eigenheime;4102;2011_3;1022;102,296
gebrauchte Eigenheime;4102;2011_4;942;102,915
gebrauchte Eigenheime;4102;2012_1;948;103,781
gebrauchte Eigenheime;4102;2012_2;985;104,323
gebrauchte Eigenheime;4102;2012_3;1110;105,717
gebrauchte Eigenheime;4102;2012_4;963;106,862
gebrauchte Eigenheime;4102;2013_1;879;107,536
gebrauchte Eigenheime;4102;2013_2;1062;108,355
gebrauchte Eigenheime;4102;2013_3;1047;109,299
gebrauchte Eigenheime;4102;2013_4;1020;110,358
gebrauchte Eigenheime;4102;2014_1;883;110,877
gebrauchte Eigenheime;4102;2014_2;1013;111,820
gebrauchte Eigenheime;4102;2014_3;1033;112,864
gebrauchte Eigenheime;4102;2014_4;1058;112,358
gebrauchte Eigenheime;4102;2015_1;968;113,290
gebrauchte Eigenheime;4102;2015_2;1081;115,530
gebrauchte Eigenheime;4102;2015_3;1099;116,766
gebrauchte Eigenheime;4102;2015_4;1078;117,398
gebrauchte Eigenheime;4102;2016_1;1013;118,976
gebrauchte Eigenheime;4102;2016_2;1002;121,000
gebrauchte Eigenheime;4102;2016_3;1057;121,707
gebrauchte Eigenheime;4102;2016_4;1068;122,077
gebrauchte Eigenheime;4102;2017_1;1036;123,339
gebrauchte Eigenheime;4102;2017_2;1088;126,761
gebrauchte Eigenheime;4102;2017_3;1130;129,026
gebrauchte Eigenheime;4102;2017_4;1076;131,088
gebrauchte Eigenheime;4102;2018_1;1011;132,915
gebrauchte Eigenheime;4102;2018_2;1178;135,793
gebrauchte Eigenheime;4102;2018_3;1158;136,371
gebrauchte Eigenheime;4102;2018_4;1127;138,921
gebrauchte Eigenheime;4102;2019_1;863;
gebrauchte Eigenheime;4102;2019_2;;
gebrauchte Eigenheime;4102;2019_3;;
gebrauchte Eigenheime;4102;2019_4;;
gebrauchte Eigenheime;4102;2020_1;;
gebrauchte Eigenheime;4102;2020_2;;
gebrauchte Eigenheime;4102;2020_3;;
gebrauchte Eigenheime;4102;2020_4;;
gebrauchte Eigenheime;4102;2021_1;;
gebrauchte Eigenheime;4102;2021_2;;
gebrauchte Eigenheime;4102;2021_3;;
gebrauchte Eigenheime;4102;2021_4;;
gebrauchte Eigenheime;4103;2000_1;515;
gebrauchte Eigenheime;4103;2000_2;607;106,083
gebrauchte Eigenheime;4103;2000_3;607;104,012
gebrauchte Eigenheime;4103;2000_4;614;102,403
gebrauchte Eigenheime;4103;2001_1;535;102,964
gebrauchte Eigenheime;4103;2001_2;642;103,138
gebrauchte Eigenheime;4103;2001_3;645;103,318
gebrauchte Eigenheime;4103;2001_4;667;103,586
gebrauchte Eigenheime;4103;2002_1;545;103,361
gebrauchte Eigenheime;4103;2002_2;655;103,001
gebrauchte Eigenheime;4103;2002_3;585;102,564
gebrauchte Eigenheime;4103;2002_4;1062;103,107
gebrauchte Eigenheime;4103;2003_1;450;103,553
gebrauchte Eigenheime;4103;2003_2;578;102,635
gebrauchte Eigenheime;4103;2003_3;700;102,339
gebrauchte Eigenheime;4103;2003_4;977;102,861
gebrauchte Eigenheime;4103;2004_1;430;102,730
gebrauchte Eigenheime;4103;2004_2;588;100,703
gebrauchte Eigenheime;4103;2004_3;553;99,548
gebrauchte Eigenheime;4103;2004_4;801;100,274
gebrauchte Eigenheime;4103;2005_1;470;102,396
gebrauchte Eigenheime;4103;2005_2;597;104,077
gebrauchte Eigenheime;4103;2005_3;585;102,492
gebrauchte Eigenheime;4103;2005_4;1303;100,600
gebrauchte Eigenheime;4103;2006_1;390;100,190
gebrauchte Eigenheime;4103;2006_2;525;100,586
gebrauchte Eigenheime;4103;2006_3;600;99,434
gebrauchte Eigenheime;4103;2006_4;706;98,938
gebrauchte Eigenheime;4103;2007_1;589;99,217
gebrauchte Eigenheime;4103;2007_2;636;98,631
gebrauchte Eigenheime;4103;2007_3;670;97,856
gebrauchte Eigenheime;4103;2007_4;676;97,577
gebrauchte Eigenheime;4103;2008_1;611;98,277
gebrauchte Eigenheime;4103;2008_2;663;98,635
gebrauchte Eigenheime;4103;2008_3;745;97,548
gebrauchte Eigenheime;4103;2008_4;695;96,682
gebrauchte Eigenheime;4103;2009_1;683;97,609
gebrauchte Eigenheime;4103;2009_2;789;98,377
gebrauchte Eigenheime;4103;2009_3;766;98,742
gebrauchte Eigenheime;4103;2009_4;712;99,506
gebrauchte Eigenheime;4103;2010_1;657;100,000
gebrauchte Eigenheime;4103;2010_2;765;101,407
gebrauchte Eigenheime;4103;2010_3;800;103,525
gebrauchte Eigenheime;4103;2010_4;979;104,897
gebrauchte Eigenheime;4103;2011_1;621;105,825
gebrauchte Eigenheime;4103;2011_2;754;106,541
gebrauchte Eigenheime;4103;2011_3;813;106,513
gebrauchte Eigenheime;4103;2011_4;813;107,171
gebrauchte Eigenheime;4103;2012_1;781;109,472
gebrauchte Eigenheime;4103;2012_2;873;110,779
gebrauchte Eigenheime;4103;2012_3;859;111,816
gebrauchte Eigenheime;4103;2012_4;827;114,426
gebrauchte Eigenheime;4103;2013_1;751;116,651
gebrauchte Eigenheime;4103;2013_2;921;117,487
gebrauchte Eigenheime;4103;2013_3;901;118,054
gebrauchte Eigenheime;4103;2013_4;960;117,998
gebrauchte Eigenheime;4103;2014_1;733;118,311
gebrauchte Eigenheime;4103;2014_2;838;121,223
gebrauchte Eigenheime;4103;2014_3;873;123,371
gebrauchte Eigenheime;4103;2014_4;876;121,976
gebrauchte Eigenheime;4103;2015_1;746;122,345
gebrauchte Eigenheime;4103;2015_2;862;126,805
gebrauchte Eigenheime;4103;2015_3;807;129,539
gebrauchte Eigenheime;4103;2015_4;844;130,515
gebrauchte Eigenheime;4103;2016_1;706;132,288
gebrauchte Eigenheime;4103;2016_2;828;135,668
gebrauchte Eigenheime;4103;2016_3;815;139,586
gebrauchte Eigenheime;4103;2016_4;868;141,241
gebrauchte Eigenheime;4103;2017_1;722;141,041
gebrauchte Eigenheime;4103;2017_2;848;144,684
gebrauchte Eigenheime;4103;2017_3;834;148,528
gebrauchte Eigenheime;4103;2017_4;852;149,683
gebrauchte Eigenheime;4103;2018_1;790;150,329
gebrauchte Eigenheime;4103;2018_2;893;152,534
gebrauchte Eigenheime;4103;2018_3;881;157,479
gebrauchte Eigenheime;4103;2018_4;877;158,359
gebrauchte Eigenheime;4103;2019_1;715;
gebrauchte Eigenheime;4103;2019_2;;
gebrauchte Eigenheime;4103;2019_3;;
gebrauchte Eigenheime;4103;2019_4;;
gebrauchte Eigenheime;4103;2020_1;;
gebrauchte Eigenheime;4103;2020_2;;
gebrauchte Eigenheime;4103;2020_3;;
gebrauchte Eigenheime;4103;2020_4;;
gebrauchte Eigenheime;4103;2021_1;;
gebrauchte Eigenheime;4103;2021_2;;
gebrauchte Eigenheime;4103;2021_3;;
gebrauchte Eigenheime;4103;2021_4;;
gebrauchte Eigenheime;4104;2000_1;345;
gebrauchte Eigenheime;4104;2000_2;385;110,557
gebrauchte Eigenheime;4104;2000_3;365;109,498
gebrauchte Eigenheime;4104;2000_4;329;108,167
gebrauchte Eigenheime;4104;2001_1;344;107,029
gebrauchte Eigenheime;4104;2001_2;447;106,993
gebrauchte Eigenheime;4104;2001_3;397;106,730
gebrauchte Eigenheime;4104;2001_4;418;106,356
gebrauchte Eigenheime;4104;2002_1;286;106,631
gebrauchte Eigenheime;4104;2002_2;367;105,997
gebrauchte Eigenheime;4104;2002_3;346;105,321
gebrauchte Eigenheime;4104;2002_4;583;105,053
gebrauchte Eigenheime;4104;2003_1;253;104,833
gebrauchte Eigenheime;4104;2003_2;365;104,488
gebrauchte Eigenheime;4104;2003_3;407;103,575
gebrauchte Eigenheime;4104;2003_4;576;103,479
gebrauchte Eigenheime;4104;2004_1;216;104,035
gebrauchte Eigenheime;4104;2004_2;281;103,488
gebrauchte Eigenheime;4104;2004_3;377;101,508
gebrauchte Eigenheime;4104;2004_4;419;100,198
gebrauchte Eigenheime;4104;2005_1;245;101,659
gebrauchte Eigenheime;4104;2005_2;342;103,045
gebrauchte Eigenheime;4104;2005_3;361;101,870
gebrauchte Eigenheime;4104;2005_4;555;101,493
gebrauchte Eigenheime;4104;2006_1;183;103,131
gebrauchte Eigenheime;4104;2006_2;273;102,691
gebrauchte Eigenheime;4104;2006_3;311;98,381
gebrauchte Eigenheime;4104;2006_4;340;95,996
gebrauchte Eigenheime;4104;2007_1;280;96,858
gebrauchte Eigenheime;4104;2007_2;341;97,699
gebrauchte Eigenheime;4104;2007_3;336;96,865
gebrauchte Eigenheime;4104;2007_4;294;96,699
gebrauchte Eigenheime;4104;2008_1;262;98,099
gebrauchte Eigenheime;4104;2008_2;319;97,847
gebrauchte Eigenheime;4104;2008_3;294;96,813
gebrauchte Eigenheime;4104;2008_4;280;96,647
gebrauchte Eigenheime;4104;2009_1;287;97,681
gebrauchte Eigenheime;4104;2009_2;299;98,641
gebrauchte Eigenheime;4104;2009_3;286;98,598
gebrauchte Eigenheime;4104;2009_4;299;99,314
gebrauchte Eigenheime;4104;2010_1;273;100,000
gebrauchte Eigenheime;4104;2010_2;368;99,520
gebrauchte Eigenheime;4104;2010_3;314;99,514
gebrauchte Eigenheime;4104;2010_4;403;100,943
gebrauchte Eigenheime;4104;2011_1;295;103,748
gebrauchte Eigenheime;4104;2011_2;344;105,964
gebrauchte Eigenheime;4104;2011_3;340;107,288
gebrauchte Eigenheime;4104;2011_4;361;108,744
gebrauchte Eigenheime;4104;2012_1;345;109,542
gebrauchte Eigenheime;4104;2012_2;343;110,616
gebrauchte Eigenheime;4104;2012_3;383;113,179
gebrauchte Eigenheime;4104;2012_4;373;115,098
gebrauchte Eigenheime;4104;2013_1;332;115,832
gebrauchte Eigenheime;4104;2013_2;380;117,510
gebrauchte Eigenheime;4104;2013_3;404;119,653
gebrauchte Eigenheime;4104;2013_4;423;120,853
gebrauchte Eigenheime;4104;2014_1;285;121,286
gebrauchte Eigenheime;4104;2014_2;348;123,054
gebrauchte Eigenheime;4104;2014_3;372;125,253
gebrauchte Eigenheime;4104;2014_4;363;126,247
gebrauchte Eigenheime;4104;2015_1;368;126,963
gebrauchte Eigenheime;4104;2015_2;380;127,964
gebrauchte Eigenheime;4104;2015_3;366;130,418
gebrauchte Eigenheime;4104;2015_4;378;135,611
gebrauchte Eigenheime;4104;2016_1;325;141,614
gebrauchte Eigenheime;4104;2016_2;386;145,794
gebrauchte Eigenheime;4104;2016_3;375;148,772
gebrauchte Eigenheime;4104;2016_4;399;152,232
gebrauchte Eigenheime;4104;2017_1;324;153,485
gebrauchte Eigenheime;4104;2017_2;365;155,699
gebrauchte Eigenheime;4104;2017_3;392;158,277
gebrauchte Eigenheime;4104;2017_4;366;162,259
gebrauchte Eigenheime;4104;2018_1;349;163,921
gebrauchte Eigenheime;4104;2018_2;396;165,021
gebrauchte Eigenheime;4104;2018_3;378;169,002
gebrauchte Eigenheime;4104;2018_4;403;171,217
gebrauchte Eigenheime;4104;2019_1;366;
gebrauchte Eigenheime;4104;2019_2;;
gebrauchte Eigenheime;4104;2019_3;;
gebrauchte Eigenheime;4104;2019_4;;
gebrauchte Eigenheime;4104;2020_1;;
gebrauchte Eigenheime;4104;2020_2;;
gebrauchte Eigenheime;4104;2020_3;;
gebrauchte Eigenheime;4104;2020_4;;
gebrauchte Eigenheime;4104;2021_1;;
gebrauchte Eigenheime;4104;2021_2;;
gebrauchte Eigenheime;4104;2021_3;;
gebrauchte Eigenheime;4104;2021_4;;
gebrauchte Eigenheime;4105;2000_1;753;
gebrauchte Eigenheime;4105;2000_2;838;115,258
gebrauchte Eigenheime;4105;2000_3;834;112,873
gebrauchte Eigenheime;4105;2000_4;887;112,599
gebrauchte Eigenheime;4105;2001_1;807;113,391
gebrauchte Eigenheime;4105;2001_2;896;114,051
gebrauchte Eigenheime;4105;2001_3;835;113,729
gebrauchte Eigenheime;4105;2001_4;823;112,841
gebrauchte Eigenheime;4105;2002_1;731;111,944
gebrauchte Eigenheime;4105;2002_2;803;110,629
gebrauchte Eigenheime;4105;2002_3;760;109,414
gebrauchte Eigenheime;4105;2002_4;1297;108,636
gebrauchte Eigenheime;4105;2003_1;533;107,810
gebrauchte Eigenheime;4105;2003_2;728;107,592
gebrauchte Eigenheime;4105;2003_3;948;107,353
gebrauchte Eigenheime;4105;2003_4;1130;106,542
gebrauchte Eigenheime;4105;2004_1;550;106,060
gebrauchte Eigenheime;4105;2004_2;707;105,764
gebrauchte Eigenheime;4105;2004_3;797;104,008
gebrauchte Eigenheime;4105;2004_4;931;102,355
gebrauchte Eigenheime;4105;2005_1;574;102,769
gebrauchte Eigenheime;4105;2005_2;762;103,927
gebrauchte Eigenheime;4105;2005_3;822;103,336
gebrauchte Eigenheime;4105;2005_4;1402;102,896
gebrauchte Eigenheime;4105;2006_1;420;102,654
gebrauchte Eigenheime;4105;2006_2;604;101,375
gebrauchte Eigenheime;4105;2006_3;634;100,456
gebrauchte Eigenheime;4105;2006_4;783;100,247
gebrauchte Eigenheime;4105;2007_1;609;100,093
gebrauchte Eigenheime;4105;2007_2;727;99,751
gebrauchte Eigenheime;4105;2007_3;767;99,549
gebrauchte Eigenheime;4105;2007_4;687;98,783
gebrauchte Eigenheime;4105;2008_1;702;97,654
gebrauchte Eigenheime;4105;2008_2;808;96,955
gebrauchte Eigenheime;4105;2008_3;778;96,479
gebrauchte Eigenheime;4105;2008_4;735;97,481
gebrauchte Eigenheime;4105;2009_1;710;99,052
gebrauchte Eigenheime;4105;2009_2;794;98,205
gebrauchte Eigenheime;4105;2009_3;787;97,278
gebrauchte Eigenheime;4105;2009_4;708;98,255
gebrauchte Eigenheime;4105;2010_1;656;100,000
gebrauchte Eigenheime;4105;2010_2;819;100,466
gebrauchte Eigenheime;4105;2010_3;947;100,262
gebrauchte Eigenheime;4105;2010_4;961;100,776
gebrauchte Eigenheime;4105;2011_1;633;102,135
gebrauchte Eigenheime;4105;2011_2;759;102,652
gebrauchte Eigenheime;4105;2011_3;977;102,458
gebrauchte Eigenheime;4105;2011_4;866;103,230
gebrauchte Eigenheime;4105;2012_1;822;104,869
gebrauchte Eigenheime;4105;2012_2;897;107,025
gebrauchte Eigenheime;4105;2012_3;960;108,912
gebrauchte Eigenheime;4105;2012_4;971;109,979
gebrauchte Eigenheime;4105;2013_1;790;110,947
gebrauchte Eigenheime;4105;2013_2;1006;112,128
gebrauchte Eigenheime;4105;2013_3;987;113,424
gebrauchte Eigenheime;4105;2013_4;1040;114,187
gebrauchte Eigenheime;4105;2014_1;789;115,401
gebrauchte Eigenheime;4105;2014_2;905;118,320
gebrauchte Eigenheime;4105;2014_3;1024;119,171
gebrauchte Eigenheime;4105;2014_4;963;118,416
gebrauchte Eigenheime;4105;2015_1;899;118,999
gebrauchte Eigenheime;4105;2015_2;1026;121,448
gebrauchte Eigenheime;4105;2015_3;1021;125,244
gebrauchte Eigenheime;4105;2015_4;991;129,052
gebrauchte Eigenheime;4105;2016_1;919;132,758
gebrauchte Eigenheime;4105;2016_2;974;136,787
gebrauchte Eigenheime;4105;2016_3;963;139,936
gebrauchte Eigenheime;4105;2016_4;896;141,227
gebrauchte Eigenheime;4105;2017_1;922;140,870
gebrauchte Eigenheime;4105;2017_2;904;141,827
gebrauchte Eigenheime;4105;2017_3;1027;146,519
gebrauchte Eigenheime;4105;2017_4;927;149,395
gebrauchte Eigenheime;4105;2018_1;933;150,288
gebrauchte Eigenheime;4105;2018_2;1058;152,644
gebrauchte Eigenheime;4105;2018_3;1070;152,920
gebrauchte Eigenheime;4105;2018_4;996;155,961
gebrauchte Eigenheime;4105;2019_1;924;
gebrauchte Eigenheime;4105;2019_2;;
gebrauchte Eigenheime;4105;2019_3;;
gebrauchte Eigenheime;4105;2019_4;;
gebrauchte Eigenheime;4105;2020_1;;
gebrauchte Eigenheime;4105;2020_2;;
gebrauchte Eigenheime;4105;2020_3;;
gebrauchte Eigenheime;4105;2020_4;;
gebrauchte Eigenheime;4105;2021_1;;
gebrauchte Eigenheime;4105;2021_2;;
gebrauchte Eigenheime;4105;2021_3;;
gebrauchte Eigenheime;4105;2021_4;;
gebrauchte Eigenheime;4106;2000_1;667;
gebrauchte Eigenheime;4106;2000_2;678;104,097
gebrauchte Eigenheime;4106;2000_3;739;101,894
gebrauchte Eigenheime;4106;2000_4;724;101,020
gebrauchte Eigenheime;4106;2001_1;746;101,472
gebrauchte Eigenheime;4106;2001_2;810;101,602
gebrauchte Eigenheime;4106;2001_3;762;101,132
gebrauchte Eigenheime;4106;2001_4;832;99,784
gebrauchte Eigenheime;4106;2002_1;711;99,066
gebrauchte Eigenheime;4106;2002_2;717;100,029
gebrauchte Eigenheime;4106;2002_3;724;98,432
gebrauchte Eigenheime;4106;2002_4;1144;96,862
gebrauchte Eigenheime;4106;2003_1;625;96,951
gebrauchte Eigenheime;4106;2003_2;669;97,425
gebrauchte Eigenheime;4106;2003_3;777;97,672
gebrauchte Eigenheime;4106;2003_4;1041;97,678
gebrauchte Eigenheime;4106;2004_1;476;97,759
gebrauchte Eigenheime;4106;2004_2;626;98,042
gebrauchte Eigenheime;4106;2004_3;597;96,906
gebrauchte Eigenheime;4106;2004_4;862;95,703
gebrauchte Eigenheime;4106;2005_1;537;95,964
gebrauchte Eigenheime;4106;2005_2;677;96,198
gebrauchte Eigenheime;4106;2005_3;730;96,151
gebrauchte Eigenheime;4106;2005_4;1155;96,031
gebrauchte Eigenheime;4106;2006_1;401;95,520
gebrauchte Eigenheime;4106;2006_2;550;95,641
gebrauchte Eigenheime;4106;2006_3;649;96,028
gebrauchte Eigenheime;4106;2006_4;703;95,854
gebrauchte Eigenheime;4106;2007_1;566;95,323
gebrauchte Eigenheime;4106;2007_2;641;94,790
gebrauchte Eigenheime;4106;2007_3;626;94,489
gebrauchte Eigenheime;4106;2007_4;673;94,758
gebrauchte Eigenheime;4106;2008_1;616;94,993
gebrauchte Eigenheime;4106;2008_2;769;95,403
gebrauchte Eigenheime;4106;2008_3;623;95,195
gebrauchte Eigenheime;4106;2008_4;633;93,841
gebrauchte Eigenheime;4106;2009_1;583;94,189
gebrauchte Eigenheime;4106;2009_2;697;95,761
gebrauchte Eigenheime;4106;2009_3;664;97,640
gebrauchte Eigenheime;4106;2009_4;631;99,794
gebrauchte Eigenheime;4106;2010_1;566;100,000
gebrauchte Eigenheime;4106;2010_2;744;100,115
gebrauchte Eigenheime;4106;2010_3;761;100,874
gebrauchte Eigenheime;4106;2010_4;877;101,740
gebrauchte Eigenheime;4106;2011_1;516;103,719
gebrauchte Eigenheime;4106;2011_2;754;105,193
gebrauchte Eigenheime;4106;2011_3;751;104,960
gebrauchte Eigenheime;4106;2011_4;716;105,660
gebrauchte Eigenheime;4106;2012_1;644;107,541
gebrauchte Eigenheime;4106;2012_2;721;109,624
gebrauchte Eigenheime;4106;2012_3;812;111,588
gebrauchte Eigenheime;4106;2012_4;754;112,902
gebrauchte Eigenheime;4106;2013_1;691;114,140
gebrauchte Eigenheime;4106;2013_2;789;116,419
gebrauchte Eigenheime;4106;2013_3;763;117,070
gebrauchte Eigenheime;4106;2013_4;875;116,430
gebrauchte Eigenheime;4106;2014_1;604;118,763
gebrauchte Eigenheime;4106;2014_2;749;121,610
gebrauchte Eigenheime;4106;2014_3;719;120,616
gebrauchte Eigenheime;4106;2014_4;739;119,627
gebrauchte Eigenheime;4106;2015_1;698;120,391
gebrauchte Eigenheime;4106;2015_2;785;122,306
gebrauchte Eigenheime;4106;2015_3;828;123,504
gebrauchte Eigenheime;4106;2015_4;754;124,608
gebrauchte Eigenheime;4106;2016_1;669;128,150
gebrauchte Eigenheime;4106;2016_2;758;132,342
gebrauchte Eigenheime;4106;2016_3;769;134,004
gebrauchte Eigenheime;4106;2016_4;732;135,857
gebrauchte Eigenheime;4106;2017_1;650;137,051
gebrauchte Eigenheime;4106;2017_2;756;137,150
gebrauchte Eigenheime;4106;2017_3;720;138,867
gebrauchte Eigenheime;4106;2017_4;807;139,383
gebrauchte Eigenheime;4106;2018_1;725;139,693
gebrauchte Eigenheime;4106;2018_2;732;141,557
gebrauchte Eigenheime;4106;2018_3;810;144,735
gebrauchte Eigenheime;4106;2018_4;736;147,624
gebrauchte Eigenheime;4106;2019_1;682;
gebrauchte Eigenheime;4106;2019_2;;
gebrauchte Eigenheime;4106;2019_3;;
gebrauchte Eigenheime;4106;2019_4;;
gebrauchte Eigenheime;4106;2020_1;;
gebrauchte Eigenheime;4106;2020_2;;
